,TE_information,count_1/1_Senegal,count_1/1_Gabon,count_1/1_Kenya,count_1/1_Colombia,count_1/1_Brazil,count_1/1_USA,chromosome,start,end,te_name,gene_symbol,gene_id,gene_name
15,AaegL5_1_29772737_29773410_rnd_3_family_1017_DNA_TcMar_+,11.0,2.0,9.0,13.0,3.0,27.0,AaegL5_1,29772737,29773410,rnd_3_family_1017_DNA_TcMar_+,ID=AAEL014853,protein_coding_gene,ID=AAEL014853;description=otoferlin
16,AaegL5_1_297964922_297965559_rnd_1_family_463_LTR_Gypsy_+,5.0,0.0,5.0,24.0,18.0,28.0,AaegL5_1,297964922,297965559,rnd_1_family_463_LTR_Gypsy_+,,,
17,AaegL5_1_310457890_310458664_rnd_1_family_71_DNA_-,0.0,1.0,3.0,23.0,2.0,1.0,AaegL5_1,310457890,310458664,rnd_1_family_71_DNA_-,ID=AAEL009949,protein_coding_gene,ID=AAEL009949;description=homeotic antennapedia protein%2C putative
18,AaegL5_1_32213335_32213950_rnd_4_family_1277_Unknown_+,1.0,1.0,1.0,24.0,1.0,14.0,AaegL5_1,32213335,32213950,rnd_4_family_1277_Unknown_+,,,
19,AaegL5_1_41558910_41559604_rnd_3_family_75_DNA_TcMar_Fot1_+,10.0,13.0,15.0,19.0,0.0,14.0,AaegL5_1,41558910,41559604,rnd_3_family_75_DNA_TcMar_Fot1_+,,,
20,AaegL5_1_52881511_52882168_rnd_1_family_1265_Unknown_-,4.0,0.0,4.0,23.0,17.0,28.0,AaegL5_1,52881511,52882168,rnd_1_family_1265_Unknown_-,ID=AAEL006832,protein_coding_gene,ID=AAEL006832;Name=GPRFZ3;description=GPCR Frizzled/Smoothened Family
21,AaegL5_1_734836_735533_rnd_4_family_371_DNA_hAT_hATx_-,0.0,0.0,0.0,24.0,17.0,28.0,AaegL5_1,734836,735533,rnd_4_family_371_DNA_hAT_hATx_-,ID=AAEL017048,protein_coding_gene,ID=AAEL017048;Name=GPRGHP4;description=GPCR Growth Hormone Releasing Hormone Family
22,AaegL5_1_74316718_74317382_rnd_1_family_1265_Unknown_+,17.0,10.0,13.0,23.0,0.0,22.0,AaegL5_1,74316718,74317382,rnd_1_family_1265_Unknown_+,ID=AAEL008021,protein_coding_gene,ID=AAEL008021;description=specifically Rac-associated protein%2C putative
23,AaegL5_2_114194531_114195459_rnd_1_family_391_Unknown_-,9.0,4.0,4.0,1.0,6.0,26.0,AaegL5_2,114194531,114195459,rnd_1_family_391_Unknown_-,,,
24,AaegL5_2_136603935_136604709_rnd_3_family_12_Unknown_+,0.0,3.0,0.0,24.0,16.0,27.0,AaegL5_2,136603935,136604709,rnd_3_family_12_Unknown_+,ID=AAEL010655,protein_coding_gene,ID=AAEL010655;Name=SCRASP2;description=Class A Scavenger Receptor (SRCR domain) with Serine Protease domain.
25,AaegL5_2_136690823_136691496_rnd_1_family_177_DNA_TcMar_Fot1_-,0.0,4.0,0.0,24.0,15.0,27.0,AaegL5_2,136690823,136691496,rnd_1_family_177_DNA_TcMar_Fot1_-,ID=AAEL014422,protein_coding_gene,ID=AAEL014422;description=syntrophin
26,AaegL5_2_160305771_160306729_rnd_1_family_1195_Unknown_span_160305771_160306729_+,18.0,0.0,2.0,10.0,10.0,20.0,AaegL5_2,160305771,160306729,rnd_1_family_1195_Unknown_span_160305771_160306729_+,ID=AAEL026811,protein_coding_gene,ID=AAEL026811;description=unspecified product
27,AaegL5_2_163064979_163065686_rnd_3_family_698_DNA_CMC_Chapaev_+,1.0,0.0,1.0,23.0,18.0,19.0,AaegL5_2,163064979,163065686,rnd_3_family_698_DNA_CMC_Chapaev_+,ID=AAEL007105,protein_coding_gene,ID=AAEL007105;description=unspecified product
28,AaegL5_2_165870737_165871513_rnd_1_family_123_DNA_+,9.0,0.0,1.0,24.0,18.0,12.0,AaegL5_2,165870737,165871513,rnd_1_family_123_DNA_+,ID=AAEL001749,protein_coding_gene,ID=AAEL001749;description=ventrhoid transmembrane protein%2C putative
29,AaegL5_2_187648265_187648891_rnd_5_family_586_Unknown_+,0.0,1.0,0.0,24.0,18.0,22.0,AaegL5_2,187648265,187648891,rnd_5_family_586_Unknown_+,ID=AAEL023512,protein_coding_gene,ID=AAEL023512;description=unspecified product
30,AaegL5_2_198417109_198417800_rnd_1_family_177_DNA_TcMar_Fot1_-,10.0,0.0,3.0,24.0,18.0,15.0,AaegL5_2,198417109,198417800,rnd_1_family_177_DNA_TcMar_Fot1_-,ID=AAEL023600,protein_coding_gene,ID=AAEL023600;description=unspecified product
31,AaegL5_2_199309850_199310731_rnd_1_family_1543_Unknown_+,0.0,12.0,11.0,5.0,1.0,5.0,AaegL5_2,199309850,199310731,rnd_1_family_1543_Unknown_+,ID=AAEL013492,protein_coding_gene,ID=AAEL013492;Name=PPO5;description=prophenoloxidase
32,AaegL5_2_266491487_266492334_rnd_1_family_570_DNA_CMC_Transib_+,0.0,2.0,1.0,13.0,18.0,11.0,AaegL5_2,266491487,266492334,rnd_1_family_570_DNA_CMC_Transib_+,,,
33,AaegL5_2_270084559_270085254_rnd_1_family_63_LTR_Gypsy_-,15.0,0.0,5.0,23.0,18.0,21.0,AaegL5_2,270084559,270085254,rnd_1_family_63_LTR_Gypsy_-,,,
34,AaegL5_2_272298578_272299214_rnd_1_family_31_LTR_Gypsy_+,18.0,0.0,2.0,22.0,14.0,12.0,AaegL5_2,272298578,272299214,rnd_1_family_31_LTR_Gypsy_+,ID=AAEL019596,protein_coding_gene,ID=AAEL019596;description=unspecified product
35,AaegL5_2_283705498_283706271_rnd_1_family_123_DNA_-,0.0,0.0,0.0,21.0,1.0,0.0,AaegL5_2,283705498,283706271,rnd_1_family_123_DNA_-,ID=AAEL000580,protein_coding_gene,ID=AAEL000580;description=unspecified product
36,AaegL5_2_285061503_285062289_rnd_1_family_83_DNA_-,0.0,0.0,0.0,24.0,15.0,8.0,AaegL5_2,285061503,285062289,rnd_1_family_83_DNA_-,ID=AAEL025840,ncRNA_gene,ID=AAEL025840;description=unspecified product
37,AaegL5_2_313399919_313400543_rnd_1_family_517_Unknown_-,20.0,0.0,6.0,21.0,13.0,6.0,AaegL5_2,313399919,313400543,rnd_1_family_517_Unknown_-,,,
38,AaegL5_2_314247759_314248424_rnd_3_family_1017_DNA_TcMar_+,10.0,0.0,1.0,24.0,12.0,10.0,AaegL5_2,314247759,314248424,rnd_3_family_1017_DNA_TcMar_+,,,
39,AaegL5_2_31534840_31535710_rnd_1_family_1543_Unknown_+,2.0,0.0,2.0,1.0,14.0,26.0,AaegL5_2,31534840,31535710,rnd_1_family_1543_Unknown_+,ID=AAEL002260,protein_coding_gene,ID=AAEL002260;description=Putative gryzun [Source:UniProtKB/TrEMBL%3BAcc:A0A0P6IV21]
40,AaegL5_2_315434958_315435588_rnd_1_family_698_Unknown_-,2.0,0.0,2.0,24.0,17.0,19.0,AaegL5_2,315434958,315435588,rnd_1_family_698_Unknown_-,ID=AAEL013799,protein_coding_gene,ID=AAEL013799;description=unspecified product
41,AaegL5_2_315918104_315918767_rnd_1_family_1265_Unknown_+,6.0,0.0,4.0,24.0,16.0,17.0,AaegL5_2,315918104,315918767,rnd_1_family_1265_Unknown_+,ID=AAEL025770,protein_coding_gene,ID=AAEL025770;description=unspecified product
42,AaegL5_2_324694196_324694860_rnd_1_family_63_LTR_Gypsy_+,2.0,13.0,16.0,3.0,8.0,21.0,AaegL5_2,324694196,324694860,rnd_1_family_63_LTR_Gypsy_+,,,
43,AaegL5_2_328416456_328417164_rnd_4_family_371_DNA_hAT_hATx_-,20.0,11.0,1.0,23.0,15.0,22.0,AaegL5_2,328416456,328417164,rnd_4_family_371_DNA_hAT_hATx_-,ID=AAEL014343,protein_coding_gene,ID=AAEL014343;description=unspecified product
44,AaegL5_2_334871057_334871724_rnd_3_family_1017_DNA_TcMar_-,13.0,3.0,5.0,16.0,18.0,5.0,AaegL5_2,334871057,334871724,rnd_3_family_1017_DNA_TcMar_-,ID=AAEL019430,protein_coding_gene,ID=AAEL019430;description=unspecified product
45,AaegL5_2_344129687_344130311_rnd_1_family_517_Unknown_+,20.0,11.0,1.0,20.0,18.0,24.0,AaegL5_2,344129687,344130311,rnd_1_family_517_Unknown_+,,,
46,AaegL5_2_351162599_351163224_rnd_1_family_517_Unknown_+,2.0,0.0,7.0,24.0,17.0,14.0,AaegL5_2,351162599,351163224,rnd_1_family_517_Unknown_+,ID=AAEL013466,protein_coding_gene,ID=AAEL013466;description=ankyrin 2%2C3/unc44
47,AaegL5_2_362687812_362688431_rnd_5_family_789_LTR_Pao_+,3.0,0.0,18.0,20.0,10.0,10.0,AaegL5_2,362687812,362688431,rnd_5_family_789_LTR_Pao_+,,,
48,AaegL5_2_362913796_362914397_rnd_1_family_350_DNA_CMC_EnSpm_-,0.0,8.0,0.0,24.0,17.0,28.0,AaegL5_2,362913796,362914397,rnd_1_family_350_DNA_CMC_EnSpm_-,ID=AAEL008590,protein_coding_gene,ID=AAEL008590;description=unspecified product
49,AaegL5_2_364364653_364365262_rnd_4_family_933_LTR_Copia_span_364364653_364365262_-,0.0,0.0,0.0,24.0,18.0,19.0,AaegL5_2,364364653,364365262,rnd_4_family_933_LTR_Copia_span_364364653_364365262_-,,,
50,AaegL5_2_371759239_371759848_rnd_2_family_34_LINE_Jockey_-,7.0,0.0,16.0,24.0,1.0,20.0,AaegL5_2,371759239,371759848,rnd_2_family_34_LINE_Jockey_-,ID=AAEL001243,protein_coding_gene,ID=AAEL001243;description=growth factor independence
51,AaegL5_2_380390707_380391455_rnd_1_family_56_DNA_CMC_Chapaev_+,3.0,0.0,19.0,6.0,7.0,21.0,AaegL5_2,380390707,380391455,rnd_1_family_56_DNA_CMC_Chapaev_+,ID=AAEL025572,protein_coding_gene,ID=AAEL025572;description=unspecified product
52,AaegL5_2_381675613_381676217_rnd_6_family_1774_LTR_Gypsy_+,0.0,7.0,0.0,24.0,17.0,21.0,AaegL5_2,381675613,381676217,rnd_6_family_1774_LTR_Gypsy_+,,,
53,AaegL5_2_381756006_381756764_rnd_5_family_1425_Unknown_span_381756006_381756764_-,6.0,0.0,18.0,6.0,17.0,23.0,AaegL5_2,381756006,381756764,rnd_5_family_1425_Unknown_span_381756006_381756764_-,ID=AAEL005645,protein_coding_gene,ID=AAEL005645;description=unspecified product
54,AaegL5_2_381984734_381985485_rnd_1_family_10_DNA_span_381984734_381985485_+,20.0,9.0,1.0,23.0,16.0,15.0,AaegL5_2,381984734,381985485,rnd_1_family_10_DNA_span_381984734_381985485_+,ID=AAEL005657,protein_coding_gene,ID=AAEL005657;description=unspecified product
55,AaegL5_2_382122108_382122989_rnd_6_family_300_DNA_hAT_Tip100_+,8.0,0.0,19.0,2.0,10.0,17.0,AaegL5_2,382122108,382122989,rnd_6_family_300_DNA_hAT_Tip100_+,ID=AAEL018347,protein_coding_gene,ID=AAEL018347;Name=CLIPE12;description=Clip-domain serine protease%2C family E
56,AaegL5_2_399347417_399348424_rnd_1_family_1557_Unknown_-,3.0,0.0,18.0,8.0,17.0,20.0,AaegL5_2,399347417,399348424,rnd_1_family_1557_Unknown_-,ID=AAEL006976,protein_coding_gene,ID=AAEL006976;description=unspecified product
57,AaegL5_2_400172711_400173328_rnd_1_family_234_DNA_Sola_span_400172711_400173328_+,4.0,0.0,18.0,8.0,7.0,22.0,AaegL5_2,400172711,400173328,rnd_1_family_234_DNA_Sola_span_400172711_400173328_+,ID=AAEL017156,protein_coding_gene,ID=AAEL017156;description=DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL%3BAcc:J9E9F1]
58,AaegL5_2_402314308_402314971_rnd_3_family_1017_DNA_TcMar_-,0.0,0.0,0.0,24.0,0.0,7.0,AaegL5_2,402314308,402314971,rnd_3_family_1017_DNA_TcMar_-,,,
59,AaegL5_2_40813153_40813767_rnd_1_family_95_Unknown_+,0.0,3.0,0.0,24.0,18.0,28.0,AaegL5_2,40813153,40813767,rnd_1_family_95_Unknown_+,,,
60,AaegL5_2_417100011_417100828_rnd_3_family_12_Unknown_+,3.0,3.0,9.0,24.0,16.0,4.0,AaegL5_2,417100011,417100828,rnd_3_family_12_Unknown_+,ID=AAEL010042,protein_coding_gene,ID=AAEL010042;description=unspecified product
61,AaegL5_2_417448492_417449098_rnd_1_family_350_DNA_CMC_EnSpm_+,0.0,0.0,0.0,24.0,0.0,12.0,AaegL5_2,417448492,417449098,rnd_1_family_350_DNA_CMC_EnSpm_+,,,
62,AaegL5_2_422099471_422100147_rnd_1_family_31_LTR_Gypsy_+,9.0,0.0,6.0,21.0,16.0,28.0,AaegL5_2,422099471,422100147,rnd_1_family_31_LTR_Gypsy_+,ID=AAEL023798,protein_coding_gene,ID=AAEL023798;description=unspecified product
63,AaegL5_2_436695081_436695759_rnd_1_family_31_LTR_Gypsy_-,3.0,0.0,7.0,19.0,18.0,21.0,AaegL5_2,436695081,436695759,rnd_1_family_31_LTR_Gypsy_-,ID=AAEL018352,protein_coding_gene,ID=AAEL018352;description=unspecified product
64,AaegL5_2_439413324_439414061_rnd_1_family_1587_Unknown_span_439413324_439414061_-,6.0,0.0,3.0,24.0,1.0,14.0,AaegL5_2,439413324,439414061,rnd_1_family_1587_Unknown_span_439413324_439414061_-,ID=AAEL006440,protein_coding_gene,ID=AAEL006440;description=serine/threonine-protein kinase pk61c
65,AaegL5_2_45856941_45857564_rnd_4_family_1277_Unknown_-,0.0,0.0,0.0,24.0,0.0,22.0,AaegL5_2,45856941,45857564,rnd_4_family_1277_Unknown_-,ID=AAEL001411,protein_coding_gene,ID=AAEL001411;description=myosin heavy chain%2C nonmuscle or smooth muscle
66,AaegL5_2_88348508_88349159_rnd_1_family_463_LTR_Gypsy_-,8.0,0.0,5.0,24.0,18.0,26.0,AaegL5_2,88348508,88349159,rnd_1_family_463_LTR_Gypsy_-,ID=AAEL020351,protein_coding_gene,ID=AAEL020351;description=unspecified product
67,AaegL5_3_103054745_103055443_rnd_4_family_371_DNA_hAT_hATx_span_103054745_103055443_-,1.0,2.0,19.0,21.0,18.0,28.0,AaegL5_3,103054745,103055443,rnd_4_family_371_DNA_hAT_hATx_span_103054745_103055443_-,ID=AAEL025397,protein_coding_gene,ID=AAEL025397;description=unspecified product
68,AaegL5_3_103054751_103055437_rnd_6_family_1788_DNA_TcMar_Fot1_-,1.0,2.0,19.0,21.0,18.0,28.0,AaegL5_3,103054751,103055437,rnd_6_family_1788_DNA_TcMar_Fot1_-,ID=AAEL025397,protein_coding_gene,ID=AAEL025397;description=unspecified product
69,AaegL5_3_103234463_103235164_rnd_4_family_371_DNA_hAT_hATx_+,0.0,0.0,4.0,24.0,18.0,23.0,AaegL5_3,103234463,103235164,rnd_4_family_371_DNA_hAT_hATx_+,ID=AAEL000047,protein_coding_gene,ID=AAEL000047;description=unspecified product
70,AaegL5_3_103853650_103854436_rnd_3_family_308_DNA_-,0.0,0.0,0.0,23.0,0.0,13.0,AaegL5_3,103853650,103854436,rnd_3_family_308_DNA_-,,,
71,AaegL5_3_104357671_104358358_rnd_1_family_768_Unknown_+,0.0,0.0,0.0,23.0,0.0,17.0,AaegL5_3,104357671,104358358,rnd_1_family_768_Unknown_+,ID=AAEL000076,protein_coding_gene,ID=AAEL000076;description=dimethyladenosine transferase
72,AaegL5_3_104917882_104918517_rnd_1_family_698_Unknown_-,0.0,0.0,2.0,24.0,8.0,14.0,AaegL5_3,104917882,104918517,rnd_1_family_698_Unknown_-,ID=AAEL000043,protein_coding_gene,ID=AAEL000043;description=gustatory receptor 64e%2C putative
73,AaegL5_3_122946957_122947625_rnd_1_family_31_LTR_Gypsy_+,0.0,6.0,0.0,15.0,18.0,10.0,AaegL5_3,122946957,122947625,rnd_1_family_31_LTR_Gypsy_+,ID=AAEL007363,protein_coding_gene,ID=AAEL007363;description=leucine-rich transmembrane protein
74,AaegL5_3_125969650_125970455_rnd_3_family_12_Unknown_+,0.0,1.0,0.0,9.0,18.0,15.0,AaegL5_3,125969650,125970455,rnd_3_family_12_Unknown_+,,,
75,AaegL5_3_131649679_131650397_rnd_5_family_2396_LTR_Pao_span_131649679_131650397_+,5.0,0.0,19.0,6.0,11.0,12.0,AaegL5_3,131649679,131650397,rnd_5_family_2396_LTR_Pao_span_131649679_131650397_+,,,
76,AaegL5_3_132155687_132156310_rnd_1_family_350_DNA_CMC_EnSpm_+,6.0,0.0,3.0,24.0,18.0,7.0,AaegL5_3,132155687,132156310,rnd_1_family_350_DNA_CMC_EnSpm_+,ID=AAEL008815,protein_coding_gene,ID=AAEL008815;description=unspecified product
77,AaegL5_3_133520458_133521080_rnd_4_family_1277_Unknown_+,0.0,2.0,0.0,24.0,18.0,26.0,AaegL5_3,133520458,133521080,rnd_4_family_1277_Unknown_+,ID=AAEL007787,protein_coding_gene,ID=AAEL007787;description=5-aminolevulinic acid synthase
78,AaegL5_3_134038817_134039518_rnd_4_family_371_DNA_hAT_hATx_+,0.0,0.0,0.0,19.0,18.0,2.0,AaegL5_3,134038817,134039518,rnd_4_family_371_DNA_hAT_hATx_+,,,
79,AaegL5_3_134453421_134454096_rnd_1_family_31_LTR_Gypsy_-,0.0,0.0,0.0,21.0,0.0,0.0,AaegL5_3,134453421,134454096,rnd_1_family_31_LTR_Gypsy_-,,,
80,AaegL5_3_136164172_136164782_rnd_1_family_377_DNA_TcMar_-,0.0,1.0,2.0,24.0,9.0,9.0,AaegL5_3,136164172,136164782,rnd_1_family_377_DNA_TcMar_-,ID=AAEL019860,protein_coding_gene,ID=AAEL019860;description=unspecified product
81,AaegL5_3_142835933_142836630_rnd_1_family_555_Unknown_span_142835933_142836630_-,19.0,1.0,9.0,23.0,13.0,15.0,AaegL5_3,142835933,142836630,rnd_1_family_555_Unknown_span_142835933_142836630_-,ID=AAEL011470,protein_coding_gene,ID=AAEL011470;description=cis%2Ccis-muconate transport protein MucK%2C putative
82,AaegL5_3_146923713_146924556_rnd_1_family_233_LTR_Copia_span_146923713_146924556_-,0.0,6.0,0.0,24.0,18.0,17.0,AaegL5_3,146923713,146924556,rnd_1_family_233_LTR_Copia_span_146923713_146924556_-,ID=AAEL024949,ncRNA_gene,ID=AAEL024949;description=unspecified product
83,AaegL5_3_146923766_146924417_rnd_1_family_9_LTR_Copia_span_146923766_146924417_-,0.0,6.0,0.0,24.0,18.0,17.0,AaegL5_3,146923766,146924417,rnd_1_family_9_LTR_Copia_span_146923766_146924417_-,ID=AAEL024949,ncRNA_gene,ID=AAEL024949;description=unspecified product
84,AaegL5_3_150690672_150691458_rnd_3_family_308_DNA_+,0.0,0.0,2.0,21.0,4.0,0.0,AaegL5_3,150690672,150691458,rnd_3_family_308_DNA_+,ID=AAEL006201,protein_coding_gene,ID=AAEL006201;description=unspecified product
85,AaegL5_3_16016866_16017490_rnd_5_family_586_Unknown_+,0.0,0.0,0.0,24.0,11.0,11.0,AaegL5_3,16016866,16017490,rnd_5_family_586_Unknown_+,,,
86,AaegL5_3_16191821_16192495_rnd_1_family_31_LTR_Gypsy_+,0.0,0.0,0.0,23.0,0.0,5.0,AaegL5_3,16191821,16192495,rnd_1_family_31_LTR_Gypsy_+,,,
87,AaegL5_3_162032491_162033163_rnd_3_family_1017_DNA_TcMar_-,0.0,0.0,0.0,8.0,18.0,16.0,AaegL5_3,162032491,162033163,rnd_3_family_1017_DNA_TcMar_-,ID=AAEL028101,protein_coding_gene,ID=AAEL028101;description=unspecified product
88,AaegL5_3_170130752_170131469_rnd_1_family_377_DNA_TcMar_span_170130752_170131469_+,0.0,1.0,0.0,23.0,18.0,21.0,AaegL5_3,170130752,170131469,rnd_1_family_377_DNA_TcMar_span_170130752_170131469_+,ID=AAEL006797,protein_coding_gene,ID=AAEL006797;description=F-box/leucine rich repeat protein
89,AaegL5_3_172504808_172505447_rnd_1_family_498_LTR_Copia_+,0.0,0.0,0.0,24.0,14.0,19.0,AaegL5_3,172504808,172505447,rnd_1_family_498_LTR_Copia_+,ID=AAEL008662,protein_coding_gene,ID=AAEL008662;description=mixed-lineage leukemia protein
90,AaegL5_3_172590041_172590651_rnd_6_family_493_Unknown_+,0.0,0.0,1.0,24.0,12.0,18.0,AaegL5_3,172590041,172590651,rnd_6_family_493_Unknown_+,ID=AAEL008660,protein_coding_gene,ID=AAEL008660;description=Fig-alpha [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FK79]
91,AaegL5_3_185471883_185472555_rnd_3_family_1017_DNA_TcMar_-,7.0,3.0,2.0,18.0,17.0,2.0,AaegL5_3,185471883,185472555,rnd_3_family_1017_DNA_TcMar_-,ID=AAEL000417,protein_coding_gene,ID=AAEL000417;description=monocarboxylate transporter
92,AaegL5_3_202741851_202742481_rnd_1_family_350_DNA_CMC_EnSpm_-,19.0,1.0,6.0,23.0,18.0,21.0,AaegL5_3,202741851,202742481,rnd_1_family_350_DNA_CMC_EnSpm_-,ID=AAEL009811,protein_coding_gene,ID=AAEL009811;description=unspecified product
93,AaegL5_3_208349879_208350796_rnd_1_family_91_LINE_Jockey_span_208349879_208350796_+,1.0,12.0,13.0,9.0,2.0,12.0,AaegL5_3,208349879,208350796,rnd_1_family_91_LINE_Jockey_span_208349879_208350796_+,,,
94,AaegL5_3_212584267_212584975_rnd_1_family_841_DNA_span_212584267_212584975_-,2.0,0.0,1.0,7.0,17.0,3.0,AaegL5_3,212584267,212584975,rnd_1_family_841_DNA_span_212584267_212584975_-,ID=AAEL000176,protein_coding_gene,ID=AAEL000176;description=unspecified product
95,AaegL5_3_213477483_213478242_rnd_1_family_200_DNA_CMC_Transib_-,19.0,1.0,2.0,21.0,17.0,26.0,AaegL5_3,213477483,213478242,rnd_1_family_200_DNA_CMC_Transib_-,,,
96,AaegL5_3_21371894_21372670_rnd_1_family_71_DNA_-,0.0,0.0,0.0,11.0,15.0,28.0,AaegL5_3,21371894,21372670,rnd_1_family_71_DNA_-,,,
97,AaegL5_3_244449083_244449706_rnd_1_family_350_DNA_CMC_EnSpm_+,8.0,0.0,1.0,17.0,18.0,22.0,AaegL5_3,244449083,244449706,rnd_1_family_350_DNA_CMC_EnSpm_+,ID=AAEL000788,protein_coding_gene,ID=AAEL000788;description=matrix metalloproteinase
98,AaegL5_3_285221553_285222211_rnd_6_family_458_DNA_Crypton_+,5.0,0.0,18.0,9.0,16.0,21.0,AaegL5_3,285221553,285222211,rnd_6_family_458_DNA_Crypton_+,,,
99,AaegL5_3_2966951_2967573_rnd_4_family_1277_Unknown_+,0.0,0.0,0.0,3.0,0.0,25.0,AaegL5_3,2966951,2967573,rnd_4_family_1277_Unknown_+,,,
100,AaegL5_3_316776933_316777593_rnd_1_family_31_LTR_Gypsy_-,5.0,1.0,3.0,10.0,0.0,24.0,AaegL5_3,316776933,316777593,rnd_1_family_31_LTR_Gypsy_-,ID=AAEL022221,protein_coding_gene,ID=AAEL022221;description=unspecified product
101,AaegL5_3_320345866_320346547_rnd_1_family_426_DNA_CMC_Chapaev_span_320345866_320346547_-,0.0,4.0,10.0,21.0,18.0,14.0,AaegL5_3,320345866,320346547,rnd_1_family_426_DNA_CMC_Chapaev_span_320345866_320346547_-,ID=AAEL023588,protein_coding_gene,ID=AAEL023588;description=unspecified product
