TE_information,count_1/1_USA,count_1/1_Kenya,count_1/1_Colombia,count_1/1_Senegal,count_1/1_Brazil,count_1/1_Gabon,chromosome,start,end,te_name,gene_symbol,gene_id,gene_name,GO_terms
AaegL5_1_271462368_271462786_rnd_1_family_737_Unknown_.,0.0,0.0,22.0,0.0,1.0,0.0,AaegL5_1,271462368,271462786,rnd_1_family_737_Unknown_.,AAEL019513,protein_coding_gene,ID=AAEL019513;description=unspecified product,cell communication; sodium ion transmembrane transport; calcium ion import across plasma membrane; axon; sarcolemma; postsynapse; calcium:sodium antiporter activity
AaegL5_1_271576927_271578244_rnd_1_family_34_SINE_tRNA_.,0.0,1.0,23.0,0.0,5.0,0.0,AaegL5_1,271576927,271578244,rnd_1_family_34_SINE_tRNA_.,AAEL011941,protein_coding_gene,ID=AAEL011941;description=oxidase/peroxidase,response to oxidative stress; peroxidase activity; heme binding
AaegL5_1_280262341_280262977_rnd_1_family_351_DNA_hAT_hATm_.,18.0,3.0,21.0,17.0,11.0,1.0,AaegL5_1,280262341,280262977,rnd_1_family_351_DNA_hAT_hATm_.,,,,
AaegL5_1_284608079_284608496_rnd_1_family_29_DNA_.,0.0,4.0,5.0,15.0,2.0,0.0,AaegL5_1,284608079,284608496,rnd_1_family_29_DNA_.,AAEL012393,protein_coding_gene,ID=AAEL012393;description=unspecified product,
AaegL5_1_286419545_286420010_rnd_1_family_696_Unknown_.,14.0,8.0,0.0,18.0,10.0,7.0,AaegL5_1,286419545,286420010,rnd_1_family_696_Unknown_.,AAEL011934,protein_coding_gene,ID=AAEL011934;Name=GSTZ1;description=glutathione transferase,L-phenylalanine catabolic process; glutathione metabolic process; cytoplasm; mitochondrion; glutathione transferase activity; maleylacetoacetate isomerase activity
AaegL5_1_294719346_294719657_rnd_4_family_964_LTR_Copia_.,0.0,4.0,19.0,18.0,2.0,0.0,AaegL5_1,294719346,294719657,rnd_4_family_964_LTR_Copia_.,,,,
AaegL5_1_298994431_298994871_rnd_1_family_849_DNA_.,0.0,0.0,21.0,0.0,0.0,0.0,AaegL5_1,298994431,298994871,rnd_1_family_849_DNA_.,AAEL026442,ncRNA_gene,ID=AAEL026442;description=unspecified product,
AaegL5_1_301153327_301153942_rnd_3_family_12_Unknown_.,0.0,2.0,22.0,2.0,13.0,0.0,AaegL5_1,301153327,301153942,rnd_3_family_12_Unknown_.,AAEL001062,protein_coding_gene,ID=AAEL001062;description=unspecified product,
AaegL5_1_301236516_301236900_rnd_1_family_844_Unknown_.,0.0,0.0,23.0,0.0,4.0,0.0,AaegL5_1,301236516,301236900,rnd_1_family_844_Unknown_.,AAEL010582,protein_coding_gene,ID=AAEL010582;Name=GSTD11;description=glutathione transferase,glutathione metabolic process; glutathione transferase activity
AaegL5_1_306655642_306656012_rnd_1_family_378_LINE_RTE_BovB_.,0.0,1.0,3.0,5.0,14.0,0.0,AaegL5_1,306655642,306656012,rnd_1_family_378_LINE_RTE_BovB_.,AAEL023895,protein_coding_gene,ID=AAEL023895;description=unspecified product,innate immune response; cytoplasm; RNA binding; protein binding
AaegL5_1_32642711_32643249_rnd_1_family_212_DNA_.,0.0,2.0,7.0,4.0,15.0,0.0,AaegL5_1,32642711,32643249,rnd_1_family_212_DNA_.,AAEL020559,protein_coding_gene,ID=AAEL020559;Name=STAT;description=JAKSTAT pathway signalling transcription factor,"regulation of transcription by RNA polymerase II; defense response; cell surface receptor signaling pathway via JAK-STAT; regulation of cell population proliferation; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific"
AaegL5_1_38716524_38716796_rnd_1_family_272_DNA_CMC_EnSpm_.,0.0,1.0,20.0,0.0,2.0,0.0,AaegL5_1,38716524,38716796,rnd_1_family_272_DNA_CMC_EnSpm_.,AAEL019481,protein_coding_gene,ID=AAEL019481;description=unspecified product,regulation of transcription by RNA polymerase II; nucleus; protein binding
AaegL5_1_52341122_52341376_rnd_1_family_48_Unknown_.,0.0,2.0,23.0,6.0,9.0,0.0,AaegL5_1,52341122,52341376,rnd_1_family_48_Unknown_.,AAEL006825,protein_coding_gene,ID=AAEL006825;description=unspecified product,
AaegL5_1_54261240_54261498_rnd_1_family_1067_LINE_RTE_.,0.0,0.0,11.0,6.0,14.0,0.0,AaegL5_1,54261240,54261498,rnd_1_family_1067_LINE_RTE_.,,,,
AaegL5_1_63823376_63823848_rnd_1_family_34_SINE_tRNA_.,0.0,3.0,21.0,3.0,14.0,0.0,AaegL5_1,63823376,63823848,rnd_1_family_34_SINE_tRNA_.,AAEL007915,protein_coding_gene,ID=AAEL007915;description=Moesin/ezrin/radixin homolog 1 [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FI28],regulation of cell shape; regulation of organelle assembly; positive regulation of protein localization to early endosome; positive regulation of early endosome to late endosome transport; cytoskeleton; plasma membrane; microvillus; adherens junction; filopodium; apical part of cell; actin binding; cell adhesion molecule binding
AaegL5_2_109392995_109393195_rnd_1_family_34_SINE_tRNA_.,4.0,0.0,22.0,5.0,3.0,0.0,AaegL5_2,109392995,109393195,rnd_1_family_34_SINE_tRNA_.,,,,
AaegL5_2_112346697_112348173_rnd_1_family_30_DNA_.,9.0,0.0,15.0,0.0,15.0,0.0,AaegL5_2,112346697,112348173,rnd_1_family_30_DNA_.,AAEL015314,protein_coding_gene,ID=AAEL015314;description=cAMP-dependent protein kinase type ii regulatory subunit,regulation of protein phosphorylation; cAMP-dependent protein kinase complex; cAMP-dependent protein kinase regulator activity
AaegL5_2_122399661_122400066_rnd_5_family_955_Unknown_.,10.0,0.0,17.0,5.0,16.0,0.0,AaegL5_2,122399661,122400066,rnd_5_family_955_Unknown_.,AAEL028189,ncRNA_gene,ID=AAEL028189;description=unspecified product,
AaegL5_2_162256773_162257315_rnd_4_family_133_Unknown_.,1.0,9.0,0.0,1.0,2.0,12.0,AaegL5_2,162256773,162257315,rnd_4_family_133_Unknown_.,,,,
AaegL5_2_166963461_166963841_rnd_1_family_813_Unknown_.,2.0,5.0,2.0,17.0,1.0,4.0,AaegL5_2,166963461,166963841,rnd_1_family_813_Unknown_.,,,,
AaegL5_2_186267514_186268909_rnd_1_family_791_LTR_Copia_.,10.0,14.0,1.0,5.0,0.0,13.0,AaegL5_2,186267514,186268909,rnd_1_family_791_LTR_Copia_.,,,,
AaegL5_2_187028192_187028719_rnd_1_family_149_DNA_hAT_Tip100_.,14.0,0.0,21.0,15.0,14.0,0.0,AaegL5_2,187028192,187028719,rnd_1_family_149_DNA_hAT_Tip100_.,AAEL011458,protein_coding_gene,ID=AAEL011458;description=unspecified product,chitin-based extracellular matrix; structural constituent of chitin-based larval cuticle
AaegL5_2_187416907_187417196_rnd_1_family_448_Unknown_.,14.0,0.0,7.0,10.0,17.0,0.0,AaegL5_2,187416907,187417196,rnd_1_family_448_Unknown_.,AAEL023512,protein_coding_gene,ID=AAEL023512;description=unspecified product,actin cytoskeleton organization; actin binding
AaegL5_2_196130477_196130847_rnd_1_family_247_DNA_.,14.0,9.0,17.0,17.0,12.0,1.0,AaegL5_2,196130477,196130847,rnd_1_family_247_DNA_.,AAEL003731,protein_coding_gene,ID=AAEL003731;description=nuclear body associated kinase%2C putative,peptidyl-serine phosphorylation; peptidyl-threonine phosphorylation; nucleus; cytoplasm; protein serine/threonine kinase activity; protein tyrosine kinase activity; ATP binding
AaegL5_2_214962457_214962763_rnd_5_family_488_Unknown_.,6.0,12.0,10.0,11.0,0.0,12.0,AaegL5_2,214962457,214962763,rnd_5_family_488_Unknown_.,AAEL008641,protein_coding_gene,ID=AAEL008641;description=GTP-binding  protein (o) alpha subunit%2C gnao,adenylate cyclase-modulating G protein-coupled receptor signaling pathway; heterotrimeric G-protein complex; G protein-coupled receptor binding; GTPase activity; GTP binding; G-protein beta/gamma-subunit complex binding
AaegL5_2_239938565_239938941_rnd_1_family_496_DNA_.,2.0,6.0,0.0,0.0,0.0,11.0,AaegL5_2,239938565,239938941,rnd_1_family_496_DNA_.,,,,
AaegL5_2_246894802_246895563_rnd_5_family_153_Unknown_.,12.0,4.0,2.0,17.0,7.0,1.0,AaegL5_2,246894802,246895563,rnd_5_family_153_Unknown_.,AAEL009430,protein_coding_gene,ID=AAEL009430;description=unspecified product,regulation of transcription by RNA polymerase II; nucleus; mRNA binding
AaegL5_2_256296103_256296536_rnd_1_family_919_Unknown_.,5.0,19.0,13.0,9.0,5.0,8.0,AaegL5_2,256296103,256296536,rnd_1_family_919_Unknown_.,AAEL003528,protein_coding_gene,ID=AAEL003528;description=cdc73 domain protein,transcription elongation by RNA polymerase II; positive regulation of transcription elongation by RNA polymerase II; Cdc73/Paf1 complex; RNA polymerase II complex binding
AaegL5_2_261663762_261664116_rnd_1_family_235_DNA_Sola_.,0.0,12.0,1.0,0.0,2.0,10.0,AaegL5_2,261663762,261664116,rnd_1_family_235_DNA_Sola_.,AAEL026751,protein_coding_gene,ID=AAEL026751;description=unspecified product,mitophagy; endosome organization; aggrephagy; aggresome; amphisome; protein kinase C binding; zinc ion binding; K63-linked polyubiquitin modification-dependent protein binding
AaegL5_2_291381581_291381823_rnd_5_family_3023_DNA_hAT_Ac_.,2.0,0.0,1.0,16.0,0.0,1.0,AaegL5_2,291381581,291381823,rnd_5_family_3023_DNA_hAT_Ac_.,AAEL007443,protein_coding_gene,ID=AAEL007443;description=serine/threonine protein kinase,protein phosphorylation; protein kinase activity; ATP binding; protein serine/threonine kinase activator activity
AaegL5_2_312020665_312021508_rnd_1_family_734_LTR_Gypsy_.,7.0,0.0,14.0,17.0,8.0,0.0,AaegL5_2,312020665,312021508,rnd_1_family_734_LTR_Gypsy_.,,,,
AaegL5_2_341337420_341337733_rnd_1_family_158_DNA_Zator_.,5.0,0.0,6.0,15.0,1.0,10.0,AaegL5_2,341337420,341337733,rnd_1_family_158_DNA_Zator_.,AAEL010283,protein_coding_gene,ID=AAEL010283;description=unspecified product,positive regulation of GTPase activity; GTPase activator activity
AaegL5_2_343130107_343131064_rnd_1_family_369_DNA_CMC_Transib_.,2.0,18.0,4.0,1.0,0.0,5.0,AaegL5_2,343130107,343131064,rnd_1_family_369_DNA_CMC_Transib_.,AAEL017545,protein_coding_gene,ID=AAEL017545;description=unspecified product,
AaegL5_2_343827921_343828110_rnd_1_family_243_DNA_Sola_.,2.0,0.0,0.0,3.0,0.0,10.0,AaegL5_2,343827921,343828110,rnd_1_family_243_DNA_Sola_.,AAEL009723,protein_coding_gene,ID=AAEL009723;description=fibrinogen and fibronectin,extracellular space
AaegL5_2_345201699_345202095_rnd_1_family_411_Unknown_.,11.0,0.0,0.0,11.0,15.0,0.0,AaegL5_2,345201699,345202095,rnd_1_family_411_Unknown_.,AAEL007329,protein_coding_gene,ID=AAEL007329;description=unspecified product,"regulation of mRNA splicing, via spliceosome; nucleus; mRNA binding"
AaegL5_2_351088912_351089311_rnd_6_family_287_LINE_I_.,9.0,0.0,18.0,5.0,18.0,0.0,AaegL5_2,351088912,351089311,rnd_6_family_287_LINE_I_.,AAEL014533,protein_coding_gene,ID=AAEL014533;description=unspecified product,protein binding
AaegL5_2_351232666_351233040_rnd_1_family_1616_Unknown_.,13.0,0.0,0.0,0.0,16.0,0.0,AaegL5_2,351232666,351233040,rnd_1_family_1616_Unknown_.,AAEL013466,protein_coding_gene,ID=AAEL013466;description=ankyrin 2%2C3/unc44,signal transduction; protein binding
AaegL5_2_351248110_351248584_rnd_1_family_504_Unknown_.,9.0,0.0,0.0,0.0,15.0,0.0,AaegL5_2,351248110,351248584,rnd_1_family_504_Unknown_.,AAEL013466,protein_coding_gene,ID=AAEL013466;description=ankyrin 2%2C3/unc44,signal transduction; protein binding
AaegL5_2_351287507_351287949_rnd_1_family_712_Unknown_.,13.0,0.0,0.0,0.0,16.0,0.0,AaegL5_2,351287507,351287949,rnd_1_family_712_Unknown_.,AAEL013466,protein_coding_gene,ID=AAEL013466;description=ankyrin 2%2C3/unc44,signal transduction; protein binding
AaegL5_2_351340950_351341397_rnd_4_family_872_SINE_tRNA_.,7.0,0.0,22.0,2.0,13.0,0.0,AaegL5_2,351340950,351341397,rnd_4_family_872_SINE_tRNA_.,AAEL013466,protein_coding_gene,ID=AAEL013466;description=ankyrin 2%2C3/unc44,signal transduction; protein binding
AaegL5_2_351471388_351471874_rnd_1_family_696_Unknown_.,14.0,0.0,0.0,0.0,18.0,0.0,AaegL5_2,351471388,351471874,rnd_1_family_696_Unknown_.,AAEL013466,protein_coding_gene,ID=AAEL013466;description=ankyrin 2%2C3/unc44,signal transduction; protein binding
AaegL5_2_379691770_379692242_rnd_1_family_337_DNA_Sola_.,4.0,0.0,0.0,7.0,0.0,10.0,AaegL5_2,379691770,379692242,rnd_1_family_337_DNA_Sola_.,AAEL009948,protein_coding_gene,ID=AAEL009948;Name=ALDH9948;description=aldehyde dehydrogenase,aldehyde dehydrogenase (NAD+) activity
AaegL5_2_383930100_383931236_rnd_1_family_235_DNA_Sola_.,12.0,0.0,2.0,16.0,7.0,10.0,AaegL5_2,383930100,383931236,rnd_1_family_235_DNA_Sola_.,,,,
AaegL5_2_395152109_395153673_rnd_1_family_9_LTR_Copia_.,10.0,0.0,23.0,5.0,9.0,0.0,AaegL5_2,395152109,395153673,rnd_1_family_9_LTR_Copia_.,AAEL008492,protein_coding_gene,ID=AAEL008492;description=unspecified product,early endosome; Golgi apparatus; plasma membrane; EMC complex; inorganic cation transmembrane transporter activity
AaegL5_2_413387198_413387626_rnd_1_family_411_Unknown_.,4.0,0.0,21.0,13.0,5.0,0.0,AaegL5_2,413387198,413387626,rnd_1_family_411_Unknown_.,AAEL001209,protein_coding_gene,ID=AAEL001209;description=sodium-dependent phosphate transporter,monoatomic anion transport; transmembrane transport; plasma membrane; transmembrane transporter activity
AaegL5_2_424119473_424120280_rnd_1_family_235_DNA_Sola_.,24.0,0.0,12.0,0.0,2.0,0.0,AaegL5_2,424119473,424120280,rnd_1_family_235_DNA_Sola_.,,,,
AaegL5_2_444454229_444454896_rnd_1_family_430_Unknown_.,8.0,0.0,15.0,1.0,16.0,0.0,AaegL5_2,444454229,444454896,rnd_1_family_430_Unknown_.,AAEL005039,protein_coding_gene,ID=AAEL005039;description=unspecified product,membrane; glutamate-gated receptor activity
AaegL5_2_474097644_474097953_rnd_1_family_438_LTR_Pao_.,0.0,16.0,0.0,2.0,0.0,9.0,AaegL5_2,474097644,474097953,rnd_1_family_438_LTR_Pao_.,AAEL007913,protein_coding_gene,ID=AAEL007913;description=sulfotransferase (sult),sulfation; cytoplasm; sulfotransferase activity
AaegL5_2_74192991_74193346_rnd_1_family_48_Unknown_.,3.0,6.0,22.0,13.0,0.0,2.0,AaegL5_2,74192991,74193346,rnd_1_family_48_Unknown_.,,,,
AaegL5_2_78538019_78538391_rnd_1_family_188_DNA_TcMar_Fot1_.,25.0,0.0,14.0,8.0,13.0,0.0,AaegL5_2,78538019,78538391,rnd_1_family_188_DNA_TcMar_Fot1_.,AAEL024570,protein_coding_gene,ID=AAEL024570;description=unspecified product,protein phosphorylation; cell surface receptor protein tyrosine kinase signaling pathway; cell differentiation; innate immune response; extrinsic component of cytoplasmic side of plasma membrane; non-membrane spanning protein tyrosine kinase activity; signaling receptor binding; ATP binding
AaegL5_2_92522551_92523876_rnd_1_family_426_DNA_CMC_Chapaev_.,5.0,14.0,11.0,11.0,7.0,13.0,AaegL5_2,92522551,92523876,rnd_1_family_426_DNA_CMC_Chapaev_.,AAEL011349,protein_coding_gene,ID=AAEL011349;description=serine protease,proteolysis; serine-type endopeptidase activity
AaegL5_2_9878385_9879111_rnd_1_family_411_Unknown_.,0.0,15.0,0.0,2.0,0.0,4.0,AaegL5_2,9878385,9879111,rnd_1_family_411_Unknown_.,AAEL000984,protein_coding_gene,ID=AAEL000984;description=unspecified product,"mitotic cytokinesis; nervous system development; activation of GTPase activity; regulation of cytokinesis, actomyosin contractile ring assembly; nucleus; cell cortex; guanyl-nucleotide exchange factor activity; GTPase activator activity"
AaegL5_3_103074590_103074981_rnd_1_family_469_DNA_TcMar_Tc1_.,0.0,0.0,0.0,0.0,0.0,10.0,AaegL5_3,103074590,103074981,rnd_1_family_469_DNA_TcMar_Tc1_.,AAEL018060,protein_coding_gene,ID=AAEL018060;description=unspecified product,
AaegL5_3_104447316_104447534_rnd_1_family_688_LINE_CR1_.,1.0,1.0,4.0,17.0,1.0,3.0,AaegL5_3,104447316,104447534,rnd_1_family_688_LINE_CR1_.,AAEL000077,protein_coding_gene,ID=AAEL000077;description=cation efflux protein/ zinc transporter,zinc ion transport; intracellular zinc ion homeostasis; transmembrane transport; Golgi apparatus; membrane; zinc ion transmembrane transporter activity
AaegL5_3_104590957_104591170_rnd_1_family_1024_LTR_Gypsy_.,3.0,0.0,23.0,4.0,2.0,0.0,AaegL5_3,104590957,104591170,rnd_1_family_1024_LTR_Gypsy_.,AAEL024813,protein_coding_gene,ID=AAEL024813;Name=Gr7;description=gustatory receptor Gr7,detection of chemical stimulus involved in sensory perception of taste; sensory perception of sweet taste; membrane; sweet taste receptor activity
AaegL5_3_105003902_105004450_rnd_1_family_738_Unknown_.,2.0,0.0,20.0,2.0,0.0,0.0,AaegL5_3,105003902,105004450,rnd_1_family_738_Unknown_.,AAEL000074,protein_coding_gene,ID=AAEL000074;Name=CLIPB1;description=Clip-Domain Serine Protease  family B.,proteolysis; serine-type endopeptidase activity
AaegL5_3_111341427_111342432_rnd_1_family_212_DNA_.,4.0,7.0,20.0,19.0,6.0,6.0,AaegL5_3,111341427,111342432,rnd_1_family_212_DNA_.,AAEL019444,protein_coding_gene,ID=AAEL019444;description=unspecified product,post-transcriptional regulation of gene expression; nucleus; cytoplasm; mRNA 3'-UTR binding
AaegL5_3_111341459_111342199_rnd_1_family_1235_LTR_Pao_.,2.0,8.0,19.0,19.0,3.0,5.0,AaegL5_3,111341459,111342199,rnd_1_family_1235_LTR_Pao_.,AAEL019444,protein_coding_gene,ID=AAEL019444;description=unspecified product,post-transcriptional regulation of gene expression; nucleus; cytoplasm; mRNA 3'-UTR binding
AaegL5_3_138082380_138082778_rnd_1_family_642_LTR_Pao_.,3.0,0.0,17.0,16.0,8.0,9.0,AaegL5_3,138082380,138082778,rnd_1_family_642_LTR_Pao_.,AAEL026392,protein_coding_gene,ID=AAEL026392;description=unspecified product,
AaegL5_3_178427113_178427466_rnd_1_family_34_SINE_tRNA_.,2.0,0.0,22.0,2.0,3.0,0.0,AaegL5_3,178427113,178427466,rnd_1_family_34_SINE_tRNA_.,AAEL002097,protein_coding_gene,ID=AAEL002097;description=unspecified product,"retrograde transport, vesicle recycling within Golgi; Golgi organization; Golgi membrane; Golgi cisterna"
AaegL5_3_187984968_187985766_rnd_1_family_266_LTR_Gypsy_.,6.0,8.0,15.0,10.0,17.0,0.0,AaegL5_3,187984968,187985766,rnd_1_family_266_LTR_Gypsy_.,AAEL021427,ncRNA_gene,ID=AAEL021427;description=unspecified product,
AaegL5_3_194752623_194752882_rnd_1_family_341_LTR_Gypsy_.,8.0,12.0,0.0,0.0,2.0,10.0,AaegL5_3,194752623,194752882,rnd_1_family_341_LTR_Gypsy_.,AAEL011786,protein_coding_gene,ID=AAEL011786;description=unspecified product,stabilization of membrane potential; potassium ion transmembrane transport; membrane; potassium ion leak channel activity
AaegL5_3_200530086_200530453_rnd_6_family_3798_Unknown_.,1.0,16.0,1.0,0.0,1.0,7.0,AaegL5_3,200530086,200530453,rnd_6_family_3798_Unknown_.,AAEL006656,protein_coding_gene,ID=AAEL006656;description=unspecified product,chloride transmembrane transport; plasma membrane; chloride channel activity; protein dimerization activity
AaegL5_3_202408918_202409284_rnd_1_family_107_Unknown_.,0.0,16.0,0.0,1.0,0.0,4.0,AaegL5_3,202408918,202409284,rnd_1_family_107_Unknown_.,,,,
AaegL5_3_207936369_207937024_rnd_1_family_411_Unknown_.,3.0,15.0,6.0,15.0,2.0,12.0,AaegL5_3,207936369,207937024,rnd_1_family_411_Unknown_.,AAEL007794,protein_coding_gene,ID=AAEL007794;description=defective proboscis extension response,synapse organization; neuron projection membrane
AaegL5_3_212572939_212573209_rnd_1_family_712_Unknown_.,0.0,0.0,0.0,3.0,0.0,11.0,AaegL5_3,212572939,212573209,rnd_1_family_712_Unknown_.,AAEL000176,protein_coding_gene,ID=AAEL000176;description=unspecified product,cobalamin transport; extracellular space; cobalamin binding
